size;max;p;time
20;10;0.4033333333333333;33.775
20;12;0.6188888888888889;19.084
20;14;0.7633333333333333;10.343
20;16;0.86;7.567
20;18;0.9033333333333333;4.175
20;20;0.9833333333333333;4.223
20;22;0.96;4.224
20;24;0.9833333333333333;4.21
20;26;0.9933333333333333;4.322
20;28;0.9933333333333333;4.309
20;30;0.9966666666666667;4.195
20;32;1.0;4.283
20;34;1.0;4.286
20;36;1.0;4.255
20;38;1.0;4.227
20;40;1.0;4.273
20;42;1.0;4.276
20;44;1.0;4.307
40;10;0.1799145299145299;144.515
40;12;0.3971794871794872;65.443
40;14;0.6066666666666667;36.371
40;16;0.7577777777777778;20.502
40;18;0.8533333333333334;14.915
40;20;0.895;15.124
40;22;0.9466666666666667;8.053
40;24;0.9833333333333333;8.276
40;26;0.99;8.301
40;28;1.0;8.337
40;30;1.0;8.305
40;32;0.9933333333333333;8.347
40;34;1.0;8.251
40;36;1.0;8.323
40;38;1.0;8.184
40;40;0.9966666666666667;8.334
40;42;1.0;8.233
40;44;1.0;8.133
60;10;0.07453968253968254;439.43
60;12;0.24259259259259258;166.932
60;14;0.4487878787878788;87.831
60;16;0.6227777777777778;54.91
60;18;0.7644444444444445;31.244
60;20;0.8566666666666667;21.943
60;22;0.94;12.185
60;24;0.94;12.149
60;26;0.98;12.194
60;28;0.9766666666666667;12.123
60;30;0.9966666666666667;12.533
60;32;0.9966666666666667;12.406
60;34;1.0;12.46
60;36;1.0;12.264
60;38;1.0;12.191
60;40;1.0;12.265
60;42;1.0;12.32
60;44;1.0;12.334
80;10;0.030258064516129033;679.099
80;12;0.14566666666666667;347.192
80;14;0.33588235294117647;161.015
80;16;0.5580952380952381;82.698
80;18;0.7225;53.808
80;20;0.8466666666666667;29.461
80;22;0.8933333333333333;29.975
80;24;0.9433333333333334;15.964
80;26;0.96;16.137
80;28;0.9733333333333334;16.065
80;30;0.9933333333333333;16.371
80;32;0.9966666666666667;16.23
80;34;0.9933333333333333;16.34
80;36;0.9933333333333333;16.165
80;38;1.0;16.428
80;40;1.0;16.381
80;42;1.0;16.624
80;44;1.0;16.434
100;10;0.013075268817204302;689.413
100;12;0.09086274509803921;628.665
100;14;0.2541333333333333;264.061
100;16;0.48444444444444446;122.989
100;18;0.6493333333333333;78.635
100;20;0.78;52.483
100;22;0.8816666666666667;37.697
100;24;0.91;19.577
100;26;0.9633333333333334;20.084
100;28;0.98;20.452
100;30;0.9933333333333333;20.63
100;32;0.9933333333333333;20.422
100;34;1.0;20.612
100;36;0.9966666666666667;20.703
100;38;1.0;20.34
100;40;1.0;20.407
100;42;0.9966666666666667;20.35
100;44;1.0;20.636
120;10;0.005720430107526882;702.331
120;12;0.05587412587412587;1098.671
120;14;0.20424242424242425;379.833
120;16; 0.4186111111111111; 186.574 seconds
120;18; 0.5855555555555556; 109.829 seconds
120;20; 0.7677777777777778; 62.178 seconds
120;22; 0.8533333333333334; 44.525 seconds
120;24; 0.9116666666666666; 45.19 seconds
120;26; 0.94; 24.259 seconds
120;28; 0.9666666666666667; 24.262 seconds
120;30; 1.0; 24.58 seconds
120;32; 0.9966666666666667; 24.74 seconds
120;34; 0.9866666666666667; 24.681 seconds
120;36; 0.9866666666666667; 25.601 seconds
120;38; 0.99; 24.46 seconds
120;40; 1.0; 24.982 seconds
120;42; 0.9966666666666667; 24.694 seconds
120;44; 1.0; 24.576 seconds
