N,K,blocks,time,rate
4,5,42.61,3.483,2.1305
4,10,95.1433333333333,14.194,2.37858333333333
4,15,151.15,44.225,2.51916666666667
4,20,212.38,97.845,2.65475
4,25,270.473333333333,186.489,2.70473333333333
4,30,331.313333333333,320.288,2.76094444444444
4,35,398.653333333333,511.891,2.84752380952381
4,40,466.506666666667,762.09,2.91566666666667
6,5,66.98,7.275,2.23266666666667
6,10,148.606666666667,47.861,2.47677777777778
6,15,236.063333333333,147.585,2.62292592592593
6,20,329.763333333333,339.666,2.74802777777778
6,25,424.526666666667,650.708,2.83017777777778
6,30,528.673333333333,1147.189,2.93707407407407
6,35,630.956666666667,1842.232,3.00455555555556
6,40,718.456666666667,2765.79,2.99356944444444
8,5,93.2133333333333,17.324,2.33033333333333
8,10,210,116.863,2.625
8,15,331.57,375.222,2.76308333333333
8,20,457.72,847.677,2.86075
8,25,602.386666666667,1784.962,3.01193333333333
8,30,716.43,2875.426,2.985125
8,35,871.753333333333,5273.173,3.11340476190476
8,40,1000.28333333333,6938.004,3.12588541666667
